bird_class,bird_number_x,matches_x,matches2_x,bird_number_y,matches2_y,English name,Scientific Name,matches_y,Species1,Family1,Order1,Avibase.ID1,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
Acadian Flycatcher,37,Acadian Flycatcher,Acadian Flycatcher,37,Acadian Flycatcher,Acadian Flycatcher,Empidonax virescens,Empidonax virescens,Empidonax virescens,Tyrannidae,Passeriformes,AVIBASE-2778A3F4,5,13.3,9.1,6.1,4.0,17.1,71.0,19.9,52.1,27.5,58.8,12.6,Forest,2,3.0,Carnivore,Invertivore,Insessorial,26.59,45.34,36.73,-87.99,3006134.68
Great Crested Flycatcher,38,Great Crested Flycatcher,Great Crested Flycatcher,38,Great Crested Flycatcher,Great Crested Flycatcher,Myiarchus crinitus,Myiarchus crinitus,Myiarchus crinitus,Tyrannidae,Passeriformes,AVIBASE-8D6D5F2B,4,22.7,15.5,8.5,6.9,21.8,98.8,21.6,79.4,21.4,88.1,32.1,Woodland,1,3.0,Omnivore,Invertivore,Insessorial,8.61,55.55,40.77,-88.84,5137539.15
Least Flycatcher,39,Least Flycatcher,Least Flycatcher,39,Least Flycatcher,Least Flycatcher,Empidonax minimus,Empidonax minimus,Empidonax minimus,Tyrannidae,Passeriformes,AVIBASE-F5837054,4,12.4,7.6,5.4,3.5,15.9,61.1,14.2,47.9,22.8,50.8,10.0,Forest,1,3.0,Carnivore,Invertivore,Insessorial,39.58,65.34,51.73,-102.26,5753545.24
Groove billed Ani,4,Groove-billed Ani,Groove-billed Ani,4,Groove-billed Ani,Groove-billed Ani,Crotophaga sulcirostris,Crotophaga sulcirostris,Crotophaga sulcirostris,Cuculidae,Cuculiformes,AVIBASE-C5B34740,4,26.9,17.7,9.5,16.5,33.8,129.3,24.8,103.0,19.3,162.7,82.0,Human Modified,3,1.0,Carnivore,Invertivore,Terrestrial,-23.6,30.19,12.58,-85.96,2696933.46
Olive sided Flycatcher,40,Olive-sided Flycatcher,Olive-sided Flycatcher,40,Olive-sided Flycatcher,Olive-sided Flycatcher,Contopus cooperi,Contopus cooperi,Contopus cooperi,Tyrannidae,Passeriformes,AVIBASE-951C150C,4,19.9,12.2,8.5,6.5,14.7,104.7,38.5,63.2,37.9,68.8,32.1,Forest,1,3.0,Carnivore,Invertivore,Insessorial,29.44,68.45,51.88,-110.87,9652028.65
Scissor tailed Flycatcher,41,Scissor-tailed Flycatcher,Scissor-tailed Flycatcher,41,Scissor-tailed Flycatcher,Scissor-tailed Flycatcher,Tyrannus forficatus,Tyrannus forficatus,Tyrannus forficatus,Tyrannidae,Passeriformes,AVIBASE-6F65F82B,3,22.4,13.9,7.6,6.0,18.6,121.2,45.1,74.9,37.5,214.0,39.3,Human Modified,2,3.0,Omnivore,Invertivore,Insessorial,24.1,40.59,33.46,-98.04,1445850.08
Vermilion Flycatcher,42,Vermilion Flycatcher,Vermilion Flycatcher,42,Vermilion Flycatcher,Vermilion Flycatcher,Pyrocephalus rubinus,Pyrocephalus rubinus,Pyrocephalus rubinus,Tyrannidae,Passeriformes,AVIBASE-1456993D,8,14.4,9.7,5.4,4.0,16.7,74.3,16.7,57.7,22.4,57.6,14.4,Woodland,3,3.0,Carnivore,Invertivore,Insessorial,-41.16,39.48,-0.22,-79.92,8461953.41
Yellow bellied Flycatcher,43,Yellow-bellied Flycatcher,Yellow-bellied Flycatcher,43,Yellow-bellied Flycatcher,Yellow-bellied Flycatcher,Empidonax flaviventris,Empidonax flaviventris,Empidonax flaviventris,Tyrannidae,Passeriformes,AVIBASE-7B0669CB,4,12.9,8.4,5.7,3.7,17.2,66.9,15.3,48.3,24.1,52.6,11.8,Forest,1,3.0,Carnivore,Invertivore,Insessorial,41.0,64.06,52.96,-94.52,5332665.34
Frigatebird,44,Frigatebirds,Frigatebirds,44,Frigatebirds,Frigatebirds,Fregata magnificens,Fregata magnificens,Fregata magnificens,Fregatidae,Suliformes,AVIBASE-8AA3B42E,4,121.9,95.9,25.8,22.5,28.9,642.0,413.0,232.2,64.0,439.8,1490.5,Marine,3,3.0,Carnivore,Aquatic predator,Aerial,-27.66,27.33,-14.03,-60.1,191468.89
Northern Fulmar,45,Northern Fulmar,Northern Fulmar,45,Northern Fulmar,Northern Fulmar,Fulmarus glacialis,Fulmarus glacialis,Fulmarus glacialis,Procellariidae,Procellariiformes,AVIBASE-049D9AEA,4,41.3,23.6,11.9,14.4,48.8,321.1,162.5,155.0,51.1,134.9,611.9,Marine,3,3.0,Carnivore,Aquatic predator,Aquatic,36.34,84.96,64.81,-12.35,29451058.1
